
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
   W_tilde[252,0]     -1.20      1.59     -1.08     -3.70      1.31    948.08      1.00
   W_tilde[252,1]      2.49      1.46      2.51      0.52      4.58    392.03      1.00
   W_tilde[252,2]      0.47      1.48      0.50     -2.11      2.67    962.45      1.00
   W_tilde[252,3]     -0.62      0.97     -0.51     -2.10      0.82    662.08      1.00
   W_tilde[252,4]      3.81      1.08      3.76      1.99      5.50   1084.95      1.00
   W_tilde[253,0]     -2.90      1.69     -2.69     -5.40     -0.24    896.79      1.00
   W_tilde[253,1]    -10.27      5.80     -9.26    -19.50     -1.77    621.41      1.00
   W_tilde[253,2]      1.41      1.33      1.44     -0.49      3.75   1111.68      1.00
   W_tilde[253,3]     -3.51      2.51     -3.08     -7.80      0.18    811.63      1.00
   W_tilde[253,4]     -2.17      2.32     -1.94     -5.61      1.56   1355.20      1.00
   W_tilde[254,0]     -1.37      1.46     -1.19     -3.71      0.82    821.72      1.00
   W_tilde[254,1]     -2.83      5.17     -0.75    -10.15      2.79    377.55      1.00
   W_tilde[254,2]      0.21      1.16      0.34     -1.62      1.99    992.17      1.00
   W_tilde[254,3]     -1.51      2.38     -0.92     -5.17      1.79    450.74      1.00
   W_tilde[254,4]      0.44      1.97      0.82     -3.01      3.16    644.53      1.00
   W_tilde[255,0]     10.28      2.93     10.02      5.64     14.73    495.70      1.00
   W_tilde[255,1]      3.46      1.30      3.41      1.26      5.44    615.35      1.00
   W_tilde[255,2]     -8.18      2.68     -7.95    -12.87     -4.35    487.72      1.00
   W_tilde[255,3]      0.16      1.14      0.12     -1.69      1.88   1292.86      1.00
   W_tilde[255,4]     -2.41      1.84     -2.22     -5.36      0.41   1003.88      1.00
   W_tilde[256,0]     -6.44      2.35     -6.32    -10.22     -2.64    212.24      1.00
   W_tilde[256,1]    -12.54      5.67    -11.81    -20.73     -2.98   1133.47      1.00
   W_tilde[256,2]      5.18      1.43      5.09      2.95      7.56    398.25      1.01
   W_tilde[256,3]     -3.49      2.32     -3.16     -6.95      0.43   1330.94      1.00
   W_tilde[256,4]     -2.37      2.05     -2.10     -5.66      0.76    945.60      1.00
   W_tilde[257,0]      5.81      1.67      5.73      3.29      8.68    767.14      1.00
   W_tilde[257,1]      5.23      1.96      5.08      2.07      8.15    949.98      1.00
   W_tilde[257,2]     -4.53      1.83     -4.48     -7.49     -1.53    651.72      1.00
   W_tilde[257,3]      1.73      0.96      1.76      0.11      3.21   1298.74      1.00
   W_tilde[257,4]     -1.41      1.72     -1.14     -4.34      1.16   1354.55      1.00
   W_tilde[258,0]     -4.23      2.25     -4.11     -7.62     -0.19    527.94      1.00
   W_tilde[258,1]     11.64      2.48     11.56      7.24     15.22    375.58      1.00
   W_tilde[258,2]      4.34      1.17      4.20      2.60      6.30    399.99      1.00
   W_tilde[258,3]      4.23      1.17      4.13      2.31      6.07    458.58      1.00
   W_tilde[258,4]      6.02      1.65      5.91      3.49      8.86    501.27      1.00
   W_tilde[259,0]     -1.88      1.55     -1.68     -4.11      0.59    987.77      1.00
   W_tilde[259,1]     14.25      3.38     14.04      8.08     19.34    378.28      1.01
   W_tilde[259,2]      1.91      0.84      1.90      0.65      3.28    875.45      1.00
   W_tilde[259,3]      4.75      1.47      4.62      2.62      7.44    726.10      1.00
   W_tilde[259,4]      5.87      1.84      5.76      2.97      8.71    692.89      1.01
   W_tilde[260,0]     -0.82      1.39     -0.68     -3.07      1.33    655.75      1.00
   W_tilde[260,1]      7.72      1.89      7.58      4.65     10.64    345.18      1.00
   W_tilde[260,2]      0.34      1.27      0.38     -1.59      2.49   1394.30      1.00
   W_tilde[260,3]      2.92      0.89      2.91      1.36      4.22    554.71      1.00
   W_tilde[260,4]      1.82      0.95      1.78      0.41      3.34    798.78      1.00
   W_tilde[261,0]      3.07      0.96      2.99      1.42      4.61    888.75      1.00
   W_tilde[261,1]     -7.60      5.42     -6.74    -15.37      0.40    508.25      1.00
   W_tilde[261,2]     -3.02      1.35     -2.87     -5.28     -0.89    864.44      1.00
   W_tilde[261,3]     -3.46      2.53     -3.02     -7.38      0.42    709.22      1.00
   W_tilde[261,4]     -2.50      2.62     -2.06     -6.46      1.67    870.75      1.00
   W_tilde[262,0]      4.68      1.44      4.56      2.43      7.00    725.29      1.00
   W_tilde[262,1]     -3.95      4.35     -2.94    -10.43      2.16    676.84      1.00
   W_tilde[262,2]     -3.88      1.81     -3.76     -7.14     -1.24    628.92      1.00
   W_tilde[262,3]     -3.22      2.14     -2.95     -6.27      0.19    897.18      1.00
   W_tilde[262,4]      0.09      2.20      0.63     -3.14      3.18    528.91      1.00
   W_tilde[263,0]     -5.89      1.95     -5.85     -8.88     -2.49    427.38      1.01
   W_tilde[263,1]     -6.60      5.89     -5.01    -15.88      1.17    517.39      1.02
   W_tilde[263,2]      4.79      0.91      4.73      3.41      6.29    545.48      1.01
   W_tilde[263,3]     -1.49      2.79     -0.86     -5.92      2.45    610.25      1.01
   W_tilde[263,4]     -0.48      1.85     -0.11     -3.28      2.14    695.19      1.00
   W_tilde[264,0]      2.04      1.06      2.06      0.35      3.67    834.60      1.00
   W_tilde[264,1]      9.73      2.21      9.54      6.23     13.10    227.31      1.01
   W_tilde[264,2]     -1.63      1.27     -1.57     -3.79      0.30   1371.91      1.00
   W_tilde[264,3]      3.88      0.95      3.81      2.43      5.45    470.72      1.00
   W_tilde[264,4]      0.51      1.46      0.68     -1.88      2.77    685.90      1.00
   W_tilde[265,0]     -0.12      1.70      0.16     -2.77      2.34    785.64      1.00
   W_tilde[265,1]      3.67      2.82      3.99      0.74      8.35    288.85      1.00
   W_tilde[265,2]     -0.10      1.48     -0.07     -2.31      2.36    897.99      1.00
   W_tilde[265,3]      0.34      1.47      0.62     -1.69      2.27    342.06      1.00
   W_tilde[265,4]      3.16      1.18      3.08      1.50      5.30    591.11      1.00
   W_tilde[266,0]      2.89      1.01      2.85      1.35      4.47    889.90      1.00
   W_tilde[266,1]     -0.83      3.59      0.19     -6.40      4.04    467.68      1.00
   W_tilde[266,2]     -2.27      1.53     -2.27     -4.85      0.12    949.09      1.00
   W_tilde[266,3]     -2.43      1.96     -2.06     -5.25      0.68    504.46      1.01
   W_tilde[266,4]      2.73      1.04      2.71      0.80      4.33    673.11      1.00
   W_tilde[267,0]      1.28      1.84      1.48     -1.67      4.20    767.61      1.00
   W_tilde[267,1]     -2.64      3.96     -1.47     -8.65      2.94    685.74      1.00
   W_tilde[267,2]     -1.30      1.73     -1.27     -4.28      1.40   1109.16      1.00
   W_tilde[267,3]     -3.33      2.07     -3.00     -6.57     -0.30    694.14      1.00
   W_tilde[267,4]      3.29      1.37      3.20      1.20      5.57    694.99      1.00
   W_tilde[268,0]      1.21      1.07      1.26     -0.47      3.04    904.53      1.00
   W_tilde[268,1]     16.39      3.15     16.08     11.71     21.77    239.32      1.01
   W_tilde[268,2]     -0.85      1.25     -0.75     -2.96      1.10    394.31      1.00
   W_tilde[268,3]      7.57      1.50      7.38      5.31     10.13    284.05      1.00
   W_tilde[268,4]      0.77      1.55      1.00     -1.48      3.28    848.47      1.00
   W_tilde[269,0]     -4.55      2.09     -4.49     -7.83     -1.04   1170.93      1.00
   W_tilde[269,1]     -4.36      5.31     -3.57    -12.02      3.80    705.70      1.00
   W_tilde[269,2]      3.60      1.29      3.54      1.60      5.88    798.96      1.00
   W_tilde[269,3]     -2.42      2.43     -1.97     -5.86      1.13    658.32      1.00
   W_tilde[269,4]      2.67      1.25      2.65      0.83      4.71   1255.10      1.00
   W_tilde[270,0]    -10.19      2.66    -10.17    -15.07     -6.36    321.50      1.00
   W_tilde[270,1]     -9.70      5.45     -9.08    -18.35     -1.08    956.31      1.00
   W_tilde[270,2]      8.39      1.65      8.33      5.60     10.90    451.02      1.00
   W_tilde[270,3]     -2.63      2.43     -2.25     -6.63      0.79   1124.39      1.00
   W_tilde[270,4]      0.75      1.46      0.90     -1.23      3.21    751.49      1.00
   W_tilde[271,0]      7.39      2.19      7.11      3.73     10.65    708.30      1.01
   W_tilde[271,1]     15.37      3.51     15.27      9.50     20.65    412.80      1.00
   W_tilde[271,2]     -5.26      2.14     -5.08     -9.00     -1.99    737.58      1.01
   W_tilde[271,3]      3.31      1.36      3.23      1.26      5.71    858.22      1.00
   W_tilde[271,4]      5.28      1.69      5.15      2.60      7.98    583.52      1.00
   W_tilde[272,0]      3.84      1.17      3.76      2.04      5.77    381.68      1.00
   W_tilde[272,1]      6.98      1.72      6.98      4.20      9.75    301.65      1.01
   W_tilde[272,2]     -2.55      1.55     -2.52     -4.93      0.19    691.77      1.00
   W_tilde[272,3]      1.58      0.80      1.58      0.25      2.90   1105.70      1.00
   W_tilde[272,4]      2.26      0.87      2.25      0.84      3.58    583.00      1.00
   W_tilde[273,0]     -3.27      2.07     -3.18     -6.69      0.17   1255.97      1.00
   W_tilde[273,1]      3.62      1.40      3.49      1.48      6.10    613.91      1.00
   W_tilde[273,2]      3.18      1.25      3.13      0.99      5.03    980.57      1.00
   W_tilde[273,3]      2.89      0.84      2.86      1.65      4.34    701.75      1.00
   W_tilde[273,4]     -0.37      1.24     -0.18     -2.05      1.55    809.31      1.00
   W_tilde[274,0]     -3.70      1.55     -3.59     -6.20     -1.31    665.97      1.00
   W_tilde[274,1]     -2.59      3.39     -1.94     -6.87      1.96    416.60      1.00
   W_tilde[274,2]      2.81      0.89      2.77      1.18      4.07    516.38      1.00
   W_tilde[274,3]      1.62      1.55      1.78     -0.03      3.79    360.44      1.00
   W_tilde[274,4]     -3.63      1.87     -3.43     -6.37     -0.55   1067.76      1.00
   W_tilde[275,0]     -1.69      1.35     -1.56     -3.70      0.41    802.07      1.00
   W_tilde[275,1]     -5.00      6.06     -3.45    -13.68      3.00    527.93      1.00
   W_tilde[275,2]      0.47      1.09      0.59     -1.11      2.20    930.14      1.00
   W_tilde[275,3]     -1.32      2.80     -0.56     -6.38      1.94    601.75      1.00
   W_tilde[275,4]     -1.74      2.07     -1.25     -4.87      1.08    754.38      1.00
   W_tilde[276,0]     -3.64      1.77     -3.51     -6.62     -0.84    875.19      1.01
   W_tilde[276,1]     -4.57      4.52     -3.64    -12.47      1.33    639.09      1.00
   W_tilde[276,2]      2.47      1.21      2.52      0.18      4.10   1029.63      1.00
   W_tilde[276,3]     -2.95      2.23     -2.55     -6.62      0.38    672.38      1.00
   W_tilde[276,4]      2.96      0.93      2.94      1.52      4.48    771.38      1.01
   W_tilde[277,0]     -0.26      1.69      0.13     -2.84      2.17    606.45      1.00
   W_tilde[277,1]     -6.35      5.80     -5.55    -14.74      2.32    628.74      1.01
   W_tilde[277,2]      0.11      1.38      0.24     -2.18      2.25    895.96      1.00
   W_tilde[277,3]     -2.42      2.62     -2.12     -6.41      1.83    627.96      1.01
   W_tilde[277,4]     -1.45      2.37     -1.01     -5.43      1.64    948.85      1.00
   W_tilde[278,0]      4.43      1.33      4.29      2.44      6.64    914.39      1.00
   W_tilde[278,1]     -5.90      5.60     -5.01    -14.04      2.65    628.62      1.00
   W_tilde[278,2]     -3.71      1.72     -3.69     -6.66     -0.93    564.34      1.00
   W_tilde[278,3]     -2.76      2.54     -2.38     -6.66      1.45    797.26      1.00
   W_tilde[278,4]     -2.74      2.47     -2.25     -6.80      0.84   1022.22      1.00
   W_tilde[279,0]     -2.49      1.87     -2.41     -5.33      0.67   1201.13      1.00
   W_tilde[279,1]     -7.54      6.41     -6.71    -17.30      2.39    820.83      1.00
   W_tilde[279,2]      1.72      1.18      1.84     -0.22      3.43    801.32      1.00
   W_tilde[279,3]     -2.16      2.87     -1.76     -6.54      2.25    959.19      1.00
   W_tilde[279,4]     -2.08      2.20     -1.63     -5.19      1.29    738.79      1.00
   W_tilde[280,0]      4.96      1.39      4.80      2.59      6.92    482.42      1.00
   W_tilde[280,1]     17.61      3.60     17.48     11.67     23.32    216.49      1.01
   W_tilde[280,2]     -3.22      1.69     -3.11     -5.77     -0.41    753.13      1.00
   W_tilde[280,3]      7.18      1.55      7.12      4.88      9.74    249.88      1.01
   W_tilde[280,4]      0.98      1.40      1.09     -1.20      3.05    804.17      1.00
   W_tilde[281,0]     -1.33      2.21     -1.16     -4.93      1.96    897.01      1.00
   W_tilde[281,1]     -3.18      4.91     -2.47    -11.24      3.93    867.13      1.00
   W_tilde[281,2]      0.92      1.70      1.04     -2.23      3.37   1087.70      1.00
   W_tilde[281,3]     -2.23      2.25     -1.93     -5.88      1.03    976.40      1.00
   W_tilde[281,4]      1.84      1.44      1.97     -0.29      3.81    685.56      1.00
   W_tilde[282,0]     -2.12      1.75     -1.92     -4.97      0.60    786.04      1.00
   W_tilde[282,1]      0.47      3.84      1.35     -5.56      6.04    539.92      1.00
   W_tilde[282,2]      1.94      0.73      1.93      0.67      3.10    976.23      1.00
   W_tilde[282,3]     -0.92      1.91     -0.53     -4.10      1.83    481.40      1.00
   W_tilde[282,4]      3.68      1.11      3.62      1.81      5.42    489.79      1.00
   W_tilde[283,0]     -7.25      2.45     -7.16    -11.24     -3.25    427.82      1.00
   W_tilde[283,1]      9.09      2.88      8.92      4.62     14.03    679.65      1.00
   W_tilde[283,2]      6.97      1.61      6.80      4.36      9.60    584.31      1.01
   W_tilde[283,3]      5.70      1.38      5.60      3.56      8.00    443.06      1.00
   W_tilde[283,4]      2.03      1.44      1.93     -0.07      4.52   1480.04      1.00
   W_tilde[284,0]      0.24      0.84      0.30     -0.79      1.57    591.13      1.00
   W_tilde[284,1]     -4.32      5.84     -2.18    -13.24      2.59    386.33      1.00
   W_tilde[284,2]     -0.49      1.27     -0.41     -2.88      1.28    906.89      1.00
   W_tilde[284,3]     -0.97      2.72     -0.09     -5.60      2.49    407.09      1.00
   W_tilde[284,4]     -2.54      2.27     -2.11     -5.85      0.87    844.90      1.00
   W_tilde[285,0]     -3.45      1.82     -3.24     -6.39     -0.77    905.19      1.00
   W_tilde[285,1]     10.93      2.58     10.75      6.57     14.89    457.64      1.00
   W_tilde[285,2]      2.98      1.25      2.91      0.86      4.84   1243.14      1.00
   W_tilde[285,3]      2.11      0.90      2.16      0.64      3.52    781.40      1.00
   W_tilde[285,4]      7.91      1.90      7.72      4.86     10.91    354.00      1.00
   W_tilde[286,0]     -8.07      2.25     -8.06    -11.76     -4.47    190.37      1.00
   W_tilde[286,1]     -5.01      4.41     -3.58    -12.14      0.15    592.94      1.00
   W_tilde[286,2]      6.66      1.29      6.65      4.51      8.65    272.47      1.01
   W_tilde[286,3]     -0.92      2.46     -0.33     -5.18      2.18    612.15      1.00
   W_tilde[286,4]      1.50      1.41      1.65     -0.51      3.70    737.56      1.00
   W_tilde[287,0]     -2.78      1.46     -2.67     -5.04     -0.58    850.21      1.00
   W_tilde[287,1]     -4.04      6.22     -2.16    -14.19      3.52    635.86      1.00
   W_tilde[287,2]      1.89      0.80      1.91      0.56      3.10    785.70      1.00
   W_tilde[287,3]     -0.84      2.81     -0.14     -5.53      3.07    739.73      1.00
   W_tilde[287,4]     -1.00      2.33     -0.55     -4.60      2.50    807.57      1.00
   W_tilde[288,0]      6.48      1.77      6.41      3.37      9.08    516.16      1.00
   W_tilde[288,1]     10.59      2.54     10.53      6.82     14.91    303.15      1.01
   W_tilde[288,2]     -4.83      1.96     -4.77     -8.10     -1.69    580.15      1.00
   W_tilde[288,3]      0.76      1.26      0.81     -1.12      3.00    987.68      1.00
   W_tilde[288,4]      5.73      1.53      5.65      3.27      8.20    604.71      1.00
   W_tilde[289,0]      1.56      1.33      1.58     -0.35      3.84    456.69      1.00
   W_tilde[289,1]     19.40      3.56     19.21     13.39     24.93    224.35      1.00
   W_tilde[289,2]     -0.93      1.22     -0.80     -2.93      0.93    703.76      1.00
   W_tilde[289,3]      9.11      1.63      9.07      6.22     11.40    259.34      1.01
   W_tilde[289,4]      0.74      1.83      0.89     -2.18      3.64   1075.75      1.00
   W_tilde[290,0]     -0.10      1.35      0.13     -2.35      1.94    593.92      1.00
   W_tilde[290,1]     12.35      2.68     12.07      8.52     17.15    293.48      1.00
   W_tilde[290,2]      1.19      0.92      1.32     -0.23      2.61    715.80      1.00
   W_tilde[290,3]      6.06      1.36      6.01      3.92      8.26    421.02      1.00
   W_tilde[290,4]      1.08      1.15      1.18     -0.69      2.88    976.28      1.00
   W_tilde[291,0]     -5.11      1.79     -5.01     -7.85     -2.08    463.39      1.00
   W_tilde[291,1]     -4.97      6.07     -4.03    -14.09      3.67    540.81      1.00
   W_tilde[291,2]      4.24      0.83      4.20      3.02      5.75    327.85      1.01
   W_tilde[291,3]     -0.54      2.67      0.03     -4.35      3.30    563.27      1.00
   W_tilde[291,4]     -1.26      1.88     -0.92     -4.45      1.46    898.27      1.00
   W_tilde[292,0]      3.27      1.49      3.24      0.76      5.53    874.87      1.01
   W_tilde[292,1]     -3.02      4.55     -1.77     -8.30      3.05    204.71      1.01
   W_tilde[292,2]     -2.64      1.63     -2.56     -5.62     -0.20   1206.93      1.00
   W_tilde[292,3]      0.34      2.58      0.98     -3.57      3.64    212.61      1.01
   W_tilde[292,4]     -4.78      2.49     -4.72     -8.27     -0.63   1449.97      1.00
   W_tilde[293,0]     -0.23      1.86      0.08     -3.68      2.29    990.15      1.01
   W_tilde[293,1]     -3.10      4.34     -2.06    -10.24      2.46    703.54      1.00
   W_tilde[293,2]     -0.14      1.58     -0.08     -2.82      2.21   1167.03      1.00
   W_tilde[293,3]     -2.18      2.42     -1.73     -6.04      1.34    695.99      1.00
   W_tilde[293,4]      1.49      0.87      1.49      0.11      2.84   1099.70      1.00
   W_tilde[294,0]      6.56      1.77      6.41      3.90      9.59    709.28      1.00
   W_tilde[294,1]     10.40      2.38     10.29      6.37     14.11    313.52      1.00
   W_tilde[294,2]     -4.85      1.78     -4.74     -7.70     -2.10   1039.68      1.00
   W_tilde[294,3]      3.88      1.17      3.81      1.97      5.70    545.02      1.00
   W_tilde[294,4]     -0.68      1.24     -0.45     -2.24      1.33    961.03      1.00
   W_tilde[295,0]      5.91      2.38      5.68      2.10      9.61    744.94      1.00
   W_tilde[295,1]     -4.30      5.43     -3.45    -12.52      3.81    531.56      1.00
   W_tilde[295,2]     -4.90      2.15     -4.78     -8.12     -1.31    808.93      1.00
   W_tilde[295,3]     -2.23      2.42     -1.88     -5.83      1.86    541.09      1.00
   W_tilde[295,4]     -2.98      2.34     -2.40     -6.32      0.64    880.72      1.00
   W_tilde[296,0]      5.46      2.23      5.18      2.16      8.71    644.87      1.00
   W_tilde[296,1]      0.83      4.00      1.98     -5.62      5.32    408.11      1.01
   W_tilde[296,2]     -4.31      2.19     -4.21     -7.31     -0.39    679.32      1.00
   W_tilde[296,3]     -0.73      1.76     -0.42     -2.96      1.90    544.12      1.01
   W_tilde[296,4]     -0.69      2.33     -0.27     -4.41      2.66    827.20      1.00
   W_tilde[297,0]      6.15      2.20      5.80      2.63      9.44    448.86      1.00
   W_tilde[297,1]     -7.05      5.41     -5.84    -15.20      0.72    937.95      1.00
   W_tilde[297,2]     -4.86      2.64     -4.93     -9.31     -0.24    274.86      1.00
   W_tilde[297,3]     -3.48      2.45     -3.09     -7.16      0.37    961.45      1.00
   W_tilde[297,4]     -3.25      2.71     -3.02     -7.71      0.74   1348.44      1.00
   W_tilde[298,0]     -2.45      1.72     -2.27     -5.21      0.22    465.35      1.00
   W_tilde[298,1]     13.58      2.81     13.44      9.18     18.17    240.75      1.01
   W_tilde[298,2]      2.51      0.79      2.44      1.24      3.79    764.53      1.00
   W_tilde[298,3]      4.68      1.20      4.62      2.78      6.63    282.98      1.01
   W_tilde[298,4]      6.27      1.70      6.12      3.48      8.83    362.29      1.01
   W_tilde[299,0]      1.73      1.10      1.76     -0.20      3.44    725.01      1.00
   W_tilde[299,1]     -6.09      5.52     -5.02    -13.73      1.93    531.76      1.00
   W_tilde[299,2]     -1.73      1.37     -1.61     -3.72      0.68   1082.34      1.00
   W_tilde[299,3]     -3.25      2.42     -2.83     -7.07      0.31    583.38      1.00
   W_tilde[299,4]     -0.71      2.78     -0.24     -4.97      3.80    993.62      1.00
   W_tilde[300,0]      1.59      0.76      1.57      0.36      2.87   1122.42      1.00
   W_tilde[300,1]      5.07      2.43      5.17      1.50      8.77    302.43      1.01
   W_tilde[300,2]     -0.94      1.25     -0.96     -2.84      1.24   1011.34      1.00
   W_tilde[300,3]      1.68      1.20      1.76     -0.04      3.49    249.52      1.01
   W_tilde[300,4]      1.61      0.92      1.57      0.49      3.33    759.73      1.00
   W_tilde[301,0]     -1.66      1.67     -1.48     -4.20      0.94   1109.37      1.00
   W_tilde[301,1]     10.20      2.54     10.03      6.10     14.06    385.52      1.00
   W_tilde[301,2]      1.79      1.18      1.79     -0.41      3.47   1055.89      1.00
   W_tilde[301,3]      4.42      1.15      4.38      2.42      6.15    402.82      1.00
   W_tilde[301,4]      2.26      0.92      2.21      0.79      3.74    900.09      1.00
   W_tilde[302,0]     -0.24      0.95     -0.12     -1.61      1.42    769.57      1.00
   W_tilde[302,1]      4.85      2.03      4.84      1.59      7.82    321.85      1.00
   W_tilde[302,2]     -0.15      1.04      0.01     -1.81      1.30    564.38      1.00
   W_tilde[302,3]      3.53      1.02      3.47      1.73      5.02    695.37      1.00
   W_tilde[302,4]     -2.46      1.28     -2.33     -4.67     -0.56   1129.82      1.00
   W_tilde[303,0]     -1.92      1.70     -1.67     -4.22      0.96    729.32      1.01
   W_tilde[303,1]     -2.42      4.00     -1.15     -7.93      2.58    425.20      1.00
   W_tilde[303,2]      1.46      1.08      1.58     -0.38      3.12    576.17      1.01
   W_tilde[303,3]     -0.84      2.26     -0.29     -4.70      1.95    435.32      1.00
   W_tilde[303,4]      0.65      1.24      0.82     -1.01      2.31    471.68      1.00
   W_tilde[304,0]     -5.59      2.31     -5.55     -9.25     -1.53    738.64      1.00
   W_tilde[304,1]     -5.11      4.37     -4.06    -11.85      1.26    654.67      1.00
   W_tilde[304,2]      4.34      1.46      4.30      1.94      6.64    882.58      1.00
   W_tilde[304,3]     -2.85      2.27     -2.39     -6.32      0.56    632.91      1.00
   W_tilde[304,4]      3.46      1.51      3.45      0.96      5.94    824.36      1.00
   W_tilde[305,0]     -6.05      2.48     -5.85     -9.97     -2.30    844.56      1.00
   W_tilde[305,1]      6.60      1.72      6.39      3.64      9.30    522.15      1.00
   W_tilde[305,2]      5.32      1.65      5.16      2.70      7.86    832.39      1.00
   W_tilde[305,3]      0.63      0.77      0.66     -0.57      1.85   1066.63      1.00
   W_tilde[305,4]      7.94      1.79      7.87      4.98     10.72    385.72      1.00
   W_tilde[306,0]      6.68      1.82      6.57      3.78      9.60    649.60      1.01
   W_tilde[306,1]      4.64      1.44      4.54      2.10      6.74    582.98      1.00
   W_tilde[306,2]     -5.42      1.86     -5.30     -8.27     -2.25    612.44      1.00
   W_tilde[306,3]     -0.22      0.95     -0.18     -1.75      1.27   1234.13      1.00
   W_tilde[306,4]      1.29      1.52      1.43     -0.99      3.84    756.24      1.00
   W_tilde[307,0]      0.65      1.84      0.90     -2.40      3.49    933.16      1.00
   W_tilde[307,1]     -3.88      5.05     -2.49    -10.98      2.48    411.23      1.00
   W_tilde[307,2]     -0.66      1.69     -0.70     -3.13      2.35   1070.70      1.00
   W_tilde[307,3]     -0.86      2.50     -0.20     -4.52      2.67    496.14      1.00
   W_tilde[307,4]     -2.32      2.32     -1.95     -6.08      1.05    903.96      1.00
   W_tilde[308,0]      7.15      2.06      6.93      3.91     10.31    351.43      1.01
   W_tilde[308,1]      8.94      2.40      8.87      4.92     12.69    313.12      1.01
   W_tilde[308,2]     -5.21      1.96     -5.07     -8.45     -2.12    562.62      1.00
   W_tilde[308,3]      2.78      1.12      2.75      0.98      4.61    721.12      1.00
   W_tilde[308,4]     -0.05      1.58      0.28     -2.62      2.14    571.76      1.00
   W_tilde[309,0]     -3.19      2.00     -3.20     -6.49     -0.18    867.16      1.00
   W_tilde[309,1]      1.07      3.64      1.85     -2.17      5.52    175.35      1.00
   W_tilde[309,2]      2.96      1.19      3.00      1.07      4.96    693.68      1.00
   W_tilde[309,3]      1.59      1.55      1.85      0.22      3.55    200.08      1.00
   W_tilde[309,4]     -0.50      1.50     -0.21     -2.66      1.63    651.78      1.00
   W_tilde[310,0]     -0.74      1.22     -0.62     -2.67      1.12    895.45      1.00
   W_tilde[310,1]      5.54      1.63      5.38      2.75      8.10    373.92      1.00
   W_tilde[310,2]      0.44      0.90      0.57     -1.04      1.81    944.89      1.00
   W_tilde[310,3]      3.76      1.10      3.73      1.98      5.54    543.20      1.00
   W_tilde[310,4]     -1.84      1.31     -1.64     -3.67      0.31   1147.12      1.00
   W_tilde[311,0]      2.88      1.21      2.74      0.91      4.70    814.37      1.00
   W_tilde[311,1]      6.99      2.10      6.83      3.56     10.42    613.70      1.01
   W_tilde[311,2]     -2.41      1.41     -2.30     -4.63     -0.04    796.66      1.00
   W_tilde[311,3]      0.60      1.06      0.66     -1.33      2.14   1181.32      1.00
   W_tilde[311,4]      3.81      1.25      3.71      1.68      5.66    781.45      1.00
   W_tilde[312,0]      8.44      2.39      8.15      4.20     11.80    863.51      1.00
   W_tilde[312,1]     -2.51      5.03     -0.66    -10.21      3.58    343.46      1.00
   W_tilde[312,2]     -6.73      2.30     -6.58    -10.38     -3.05    866.82      1.00
   W_tilde[312,3]     -1.44      2.57     -0.78     -5.64      1.96    482.76      1.00
   W_tilde[312,4]     -3.71      2.68     -3.57     -8.19      0.45   1170.92      1.00
   W_tilde[313,0]     -3.02      2.05     -2.94     -6.25      0.50   1038.65      1.00
   W_tilde[313,1]     -5.34      4.17     -4.72    -11.76      0.55    717.55      1.00
   W_tilde[313,2]      2.15      1.20      2.13      0.46      4.32   1194.11      1.00
   W_tilde[313,3]     -3.24      2.15     -2.98     -6.67      0.01    711.56      1.00
   W_tilde[313,4]      2.55      0.87      2.51      1.20      4.03    893.91      1.00
   W_tilde[314,0]     -3.43      1.58     -3.37     -5.87     -0.86    897.38      1.00
   W_tilde[314,1]      8.73      2.00      8.69      5.13     11.60    335.29      1.00
   W_tilde[314,2]      3.16      0.90      3.15      1.83      4.78    582.17      1.00
   W_tilde[314,3]      3.30      0.95      3.29      1.71      4.70    466.34      1.00
   W_tilde[314,4]      4.07      1.17      3.97      2.24      5.90    521.42      1.00
   W_tilde[315,0]     -0.20      1.69      0.12     -3.26      2.17    629.21      1.00
   W_tilde[315,1]     -6.47      5.83     -4.99    -15.08      1.40    412.51      1.00
   W_tilde[315,2]      0.47      1.24      0.71     -1.83      2.18    611.09      1.00
   W_tilde[315,3]     -1.67      2.65     -1.20     -5.66      2.42    475.31      1.00
   W_tilde[315,4]     -2.81      2.17     -2.46     -6.39      0.30    882.89      1.00
   W_tilde[316,0]      1.32      0.89      1.32     -0.15      2.76   1005.68      1.00
   W_tilde[316,1]     13.76      2.48     13.69      9.64     17.79    162.10      1.01
   W_tilde[316,2]     -0.65      1.25     -0.64     -2.76      1.26    929.06      1.00
   W_tilde[316,3]      4.54      1.12      4.51      2.77      6.47    330.73      1.01
   W_tilde[316,4]      4.11      1.15      4.03      2.05      5.68    471.07      1.00
   W_tilde[317,0]      4.09      1.21      3.96      2.15      6.04    505.28      1.00
   W_tilde[317,1]     -7.28      5.34     -6.38    -15.60      0.55    840.13      1.00
   W_tilde[317,2]     -3.36      1.73     -3.39     -6.16     -0.66    479.83      1.00
   W_tilde[317,3]     -2.83      2.37     -2.35     -6.28      0.91    823.88      1.00
   W_tilde[317,4]     -3.74      2.24     -3.40     -7.03     -0.04   1191.11      1.00
   W_tilde[318,0]     -2.59      1.48     -2.49     -4.89     -0.19    534.28      1.01
   W_tilde[318,1]     -4.77      4.56     -4.18    -11.63      2.11    778.97      1.00
