
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
     W_tilde[9,3]      7.50      1.78      7.35      4.60     10.24    401.46      1.00
     W_tilde[9,4]      5.25      1.56      5.15      2.74      7.75    691.24      1.00
    W_tilde[10,0]     -1.87      1.44     -1.64     -4.16      0.29    839.84      1.00
    W_tilde[10,1]      9.20      2.06      9.07      5.94     12.55    212.75      1.01
    W_tilde[10,2]      1.76      0.92      1.74      0.38      3.31    665.13      1.00
    W_tilde[10,3]      3.86      1.04      3.76      2.12      5.54    476.75      1.00
    W_tilde[10,4]      2.37      1.06      2.32      0.73      4.25    741.97      1.00
    W_tilde[11,0]      5.72      1.70      5.57      3.06      8.47    584.42      1.00
    W_tilde[11,1]     -7.77      5.36     -6.76    -15.36      0.56    710.33      1.00
    W_tilde[11,2]     -4.95      1.94     -4.79     -8.33     -1.99    831.46      1.00
    W_tilde[11,3]     -3.31      2.52     -2.97     -7.14      0.46    776.17      1.00
    W_tilde[11,4]     -4.26      2.22     -4.01     -7.22     -0.39    853.65      1.00
    W_tilde[12,0]      5.05      1.55      4.93      2.48      7.50    691.14      1.00
    W_tilde[12,1]      6.57      1.72      6.45      3.69      9.10    537.67      1.00
    W_tilde[12,2]     -4.02      1.57     -3.93     -6.45     -1.34    902.31      1.00
    W_tilde[12,3]      1.12      0.86      1.17     -0.27      2.55   1101.49      1.00
    W_tilde[12,4]      1.49      0.70      1.47      0.30      2.57    684.58      1.01
    W_tilde[13,0]      0.76      1.39      0.86     -1.55      2.88   1252.33      1.00
    W_tilde[13,1]     -6.87      5.00     -6.04    -14.26      0.47    672.83      1.00
    W_tilde[13,2]     -1.61      1.24     -1.54     -3.67      0.30   1362.42      1.00
    W_tilde[13,3]     -3.04      2.42     -2.71     -6.80      0.73    839.66      1.00
    W_tilde[13,4]     -1.62      2.30     -1.12     -5.29      1.35    704.16      1.00
    W_tilde[14,0]      7.52      1.79      7.34      4.57     10.28    465.48      1.00
    W_tilde[14,1]     -4.20      5.68     -2.45    -13.53      2.46    566.02      1.00
    W_tilde[14,2]     -6.17      1.90     -6.23     -9.35     -3.03    504.14      1.00
    W_tilde[14,3]     -2.12      2.57     -1.57     -6.37      1.58    714.74      1.00
    W_tilde[14,4]     -3.88      2.42     -3.51     -7.04      0.04    807.66      1.00
    W_tilde[15,0]     -3.29      1.75     -3.30     -5.80     -0.17    891.90      1.00
    W_tilde[15,1]     -8.34      6.59     -7.55    -18.19      1.15    701.88      1.01
    W_tilde[15,2]      2.47      0.82      2.52      1.13      3.72   1043.72      1.00
    W_tilde[15,3]     -2.01      2.99     -1.63     -6.20      2.69    829.59      1.00
    W_tilde[15,4]     -2.76      1.94     -2.47     -5.48      0.27    869.44      1.00
    W_tilde[16,0]     -1.28      1.58     -1.18     -3.62      1.30   1067.73      1.00
    W_tilde[16,1]     -1.81      4.35     -1.32     -7.36      5.43    867.61      1.00
    W_tilde[16,2]      0.26      1.36      0.33     -1.90      2.42    926.34      1.00
    W_tilde[16,3]     -2.27      2.11     -1.90     -5.64      0.71    834.39      1.00
    W_tilde[16,4]      2.97      0.93      2.93      1.41      4.49    780.26      1.00
    W_tilde[17,0]      2.95      1.14      2.87      1.26      4.98    936.41      1.00
    W_tilde[17,1]     -7.26      6.28     -6.35    -16.78      2.43    820.89      1.00
    W_tilde[17,2]     -2.73      1.57     -2.65     -5.32     -0.29    894.49      1.00
    W_tilde[17,3]     -2.85      2.70     -2.33     -6.85      1.02    964.17      1.00
    W_tilde[17,4]     -3.31      2.46     -2.97     -7.04      0.50    797.77      1.00
    W_tilde[18,0]      8.90      2.75      8.67      4.52     13.50    501.42      1.00
    W_tilde[18,1]     -5.51      5.46     -4.62    -14.01      2.96    865.80      1.00
    W_tilde[18,2]     -7.27      2.49     -7.03    -11.24     -3.23    535.99      1.00
    W_tilde[18,3]     -2.87      2.61     -2.60     -6.69      1.48    862.27      1.00
    W_tilde[18,4]     -4.39      2.60     -4.00     -8.24     -0.37    933.98      1.00
    W_tilde[19,0]      5.91      2.46      5.64      2.45     10.24    992.06      1.00
    W_tilde[19,1]     -4.18      5.55     -2.88    -12.61      4.04    690.07      1.00
    W_tilde[19,2]     -4.83      2.30     -4.64     -8.70     -1.30    946.59      1.00
    W_tilde[19,3]     -1.69      2.67     -1.28     -5.78      2.31    810.55      1.00
    W_tilde[19,4]     -3.75      2.48     -3.48     -7.36      0.34    995.94      1.00
    W_tilde[20,0]      3.97      1.13      3.89      2.26      6.09    593.77      1.00
    W_tilde[20,1]     -6.01      5.23     -5.15    -14.05      1.59    890.46      1.00
    W_tilde[20,2]     -3.40      1.62     -3.42     -5.95     -0.60    744.05      1.00
    W_tilde[20,3]     -2.78      2.31     -2.45     -6.45      0.65    982.12      1.00
    W_tilde[20,4]     -2.54      2.49     -2.14     -6.48      1.26    982.86      1.00
    W_tilde[21,0]      3.77      1.39      3.72      1.69      6.24    598.98      1.00
    W_tilde[21,1]     -9.01      5.12     -8.09    -16.07     -0.61   1015.11      1.00
    W_tilde[21,2]     -3.28      1.89     -3.24     -6.25     -0.10    581.80      1.00
    W_tilde[21,3]     -3.65      2.30     -3.43     -7.26      0.03   1322.15      1.00
    W_tilde[21,4]     -3.80      2.38     -3.40     -7.76     -0.20   1101.16      1.00
    W_tilde[22,0]      2.55      1.01      2.53      0.92      4.19    572.35      1.00
    W_tilde[22,1]     15.17      3.36     14.94      9.29     20.03    415.32      1.00
    W_tilde[22,2]     -1.52      1.30     -1.41     -3.53      0.64    612.46      1.00
    W_tilde[22,3]      7.96      1.67      7.78      5.09     10.44    347.97      1.00
    W_tilde[22,4]     -1.60      1.52     -1.35     -3.81      0.63    997.40      1.00
    W_tilde[23,0]     -1.00      1.72     -0.73     -3.97      1.51   1050.37      1.00
    W_tilde[23,1]     -3.44      3.73     -2.50     -8.94      2.05    587.62      1.00
    W_tilde[23,2]      0.46      1.37      0.59     -1.78      2.49   1064.01      1.00
    W_tilde[23,3]     -3.90      2.00     -3.62     -7.02     -0.79    669.71      1.00
    W_tilde[23,4]      4.81      1.52      4.73      2.28      7.06    868.42      1.01
    W_tilde[24,0]      0.86      0.67      0.87     -0.22      1.97    767.34      1.00
    W_tilde[24,1]     17.75      3.62     17.60     11.92     23.50    358.93      1.00
    W_tilde[24,2]     -0.75      1.13     -0.61     -2.61      0.96    141.68      1.01
    W_tilde[24,3]      5.78      1.63      5.73      2.96      8.24    650.06      1.00
    W_tilde[24,4]      6.12      1.50      6.00      3.64      8.37    497.68      1.01
    W_tilde[25,0]     -4.26      1.64     -4.12     -6.81     -1.66    761.31      1.00
    W_tilde[25,1]     -1.69      4.54     -0.78     -6.69      4.90    193.02      1.01
    W_tilde[25,2]      3.54      1.09      3.49      1.64      5.13    656.79      1.00
    W_tilde[25,3]      1.66      2.27      2.02     -0.77      4.80    183.49      1.01
    W_tilde[25,4]     -2.41      2.19     -2.30     -5.83      0.93   1720.27      1.00
    W_tilde[26,0]     -4.77      1.74     -4.67     -7.68     -2.05    726.21      1.00
    W_tilde[26,1]     11.64      2.64     11.51      7.41     15.95    443.02      1.00
    W_tilde[26,2]      4.57      1.11      4.47      2.75      6.26    511.50      1.00
    W_tilde[26,3]      5.81      1.36      5.74      3.39      7.76    394.59      1.00
    W_tilde[26,4]      2.87      1.15      2.81      0.88      4.59    534.62      1.00
    W_tilde[27,0]     -3.50      1.65     -3.37     -6.03     -0.80   1016.11      1.01
    W_tilde[27,1]      3.90      1.36      3.81      1.74      6.05    837.58      1.00
    W_tilde[27,2]      2.98      0.83      2.96      1.71      4.39    634.87      1.01
    W_tilde[27,3]      1.61      0.99      1.65      0.26      3.55   1236.46      1.00
    W_tilde[27,4]      2.75      1.28      2.68      0.79      4.80   1372.18      1.00
    W_tilde[28,0]      2.23      1.14      2.17      0.42      4.05   1304.82      1.00
    W_tilde[28,1]     -6.15      5.66     -5.31    -14.42      2.51    706.15      1.00
    W_tilde[28,2]     -2.35      1.30     -2.25     -4.33     -0.18   1184.40      1.00
    W_tilde[28,3]     -2.55      2.45     -2.11     -6.53      1.04    783.51      1.00
    W_tilde[28,4]     -2.47      2.67     -2.11     -6.87      1.48   1226.09      1.00
    W_tilde[29,0]      7.60      1.85      7.48      4.51     10.34    627.37      1.00
    W_tilde[29,1]     11.62      2.48     11.52      7.65     15.60    227.70      1.00
